"","simpson","Treat","Paddock","Year"
"1",0.706938775510204,"Full","2","2021"
"2",0.786848072562358,"Moderate","3","2021"
"3",0.72,"Rest","4","2021"
"4",0.361111111111111,"Heavy","5","2021"
"5",0.635204081632653,"Full","6","2021"
"6",0.736111111111111,"Moderate","7","2021"
"7",0.6112,"Rest","8","2021"
"8",0.341311134235172,"Full","9","2021"
"9",0.50137741046832,"Moderate","10","2021"
"10",0.654320987654321,"Rest","11","2021"
"11",0.809688581314879,"Full","13","2021"
"12",0.863636363636364,"Moderate","14","2021"
"13",0.7,"Rest","15","2021"
"14",0.666666666666667,"Heavy","16","2021"
"15",0.666666666666667,"Heavy","1","2021"
"16",0.6875,"Heavy","12","2021"
"17",0.847222222222222,"Full","2","2022"
"21",0.790816326530612,"Moderate","3","2022"
"31",0.822314049586777,"Rest","4","2022"
"41",0.84297520661157,"Heavy","5","2022"
"51",0.650887573964497,"Full","6","2022"
"61",0.709141274238227,"Moderate","7","2022"
"71",0.836734693877551,"Rest","8","2022"
"81",0.475,"Full","9","2022"
"91",0.77,"Moderate","10","2022"
"101",0.724852071005917,"Rest","11","2022"
"111",0.835045970795024,"Heavy","12","2022"
"121",0.705882352941176,"Heavy","13","2022"
"131",0.804012345679012,"Full","14","2022"
"141",0.844735276621059,"Moderate","15","2022"
"151",0.802721088435374,"Rest","16","2022"
"161",0.710743801652893,"Heavy","1","2022"
"18",0.862003780718336,"Full","2","2023"
"22",0.859375,"Rest","4","2023"
"32",0.86,"Heavy","5","2023"
"42",0.809917355371901,"Full","6","2023"
"52",0.644628099173554,"Moderate","7","2023"
"62",0.739583333333333,"Rest","8","2023"
"72",0.724609375,"Full","9","2023"
"82",0.709876543209877,"Moderate","10","2023"
"92",0.48,"Rest","11","2023"
"102",0.752373995617239,"Heavy","12","2023"
"112",0.75,"Heavy","14","2023"
"122",0.746527777777778,"Full","15","2023"
"132",0.830578512396694,"Heavy","1","2023"
"142",0.518518518518519,"Moderate","3","2023"
"152",0.7421875,"Rest","13","2023"
"162",0.820987654320988,"Moderate","16","2023"
