"","cTreat","BRBL","BWTE","CCSP","GADW","NOPI","BOBO","EAKI","NSHO","RWBL","STGR","WEME","WIPH","WISN","MALL","MODO","WILL","UPSA","SAVS","AMWI","CCLO","GRSP","KILL","DICK","YHBL"
"1","Heavy",1,1,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Full",1,2,18,1,3,2,2,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"3","Moderate",1,1,11,1,11,2,0,0,11,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
"4","Rest",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5","Heavy",1,1,19,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
"6","Full",4,1,16,1,0,0,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
"7","Moderate",4,0,23,3,3,0,1,0,1,0,4,0,0,3,0,0,0,0,1,4,1,0,0,0
"8","Rest",2,0,15,2,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Full",0,0,25,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0
"10","Moderate",2,1,23,0,0,0,1,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0
"11","Rest",2,0,9,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"12","Heavy",0,0,14,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,1,0,0
"13","Full",0,1,12,1,1,0,0,0,1,1,0,1,0,2,6,0,0,0,1,0,0,0,0,0
"14","Moderate",1,2,22,1,0,2,0,1,5,0,0,0,0,1,4,0,0,0,0,0,0,0,2,1
"15","Rest",2,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
"16","Heavy",0,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
